Código Soporte;Código Elemento;Empresa;Nombre Comercial Tecnología;Dirección;Localidad;Comuna;Región;Tipo Documento Autorizatorio;Nro. Documento;Fecha Documento;Tipo Soporte;Altura;Frecuencia;Banda;Ancho Banda;Tecnología;Tipo Acceso;Latitud;Longitud;x;y
"11.410";"14.664";CLARO CHILE SPA.;3G;S/D;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;231;12/05/2000;Torre Auto Soportada;"34";"1900";UHF;30000;UMTS(3G);WCDMA;53° 9´ 24.500159999999997´´;70° 54´ 57.30012´´;"-70,916";"-53,157"
"14.935";"47.244";ENTEL PCS;2G;LAS CHARCAS, PARCELAS 102-B;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;766;29/09/2009;Torre Ventada;"36";"1900";UHF;30000;GSM(2G);TDMA;53° 7´ 10´´;70° 56´ 32´´;"-70,942";"-53,119"
"27.095";"13.936";Movistar;2G;Av. España Nº 2139;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;572;24/09/2004;Azotea;"11";"1900";UHF;20000;GSM(2G);TDMA;53° 10´ 15.15´´;70° 55´ 25.54´´;"-70,924";"-53,171"
"14.914";"36.053";ENTEL PCS;2G;KM 4,5 SUR RIO LOS CIERVOS;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;559;30/06/2008;Torre Ventada;"60";"1900";UHF;30000;GSM(2G);TDMA;53° 11´ 37´´;70° 56´ 45´´;"-70,946";"-53,194"
"14.917";"21.291";ENTEL PCS;2G;AV. BULNES Nº 04800;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;643;03/11/2006;Monoposte;"36";"1900";UHF;30000;GSM(2G);TDMA;53° 7´ 33´´;70° 52´ 10´´;"-70,869";"-53,126"
"18.004";"38.790";MOVISTAR MOVIL;2G;Estancia Las Charas;;Río Verde;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;696;23/08/2010;Torre Auto Soportada;"54";"850";UHF;25000;GSM(2G);TDMA;52° 38´ 52´´;71° 27´ 28´´;"-71,458";"-52,648"
"14.959";"16.650";ENTEL PCS;;PREDIO MIRAMAR S/N, SECTOR SANTA MARÍA;;Porvenir;Región de Magallanes y de la Antártica Chilena;DECRETO NOTIFICADO;579;22/09/2003;Torre Ventada;"60";"1900";UHF;30000;GSM;TDMA;53° 18´ 37.6´´;70° 22´ 40.9´´;"-70,378";"-53,31"
"14.933";"47.224";ENTEL PCS;2G;PARCELA Nº 4, MIRADOR DEL SUR;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;783;30/09/2009;Torre Ventada;"30";"1900";UHF;30000;GSM(2G);TDMA;53° 8´ 30´´;70° 57´ 17´´;"-70,955";"-53,142"
"14.929";"44.477";ENTEL PCS;2G;AV. BULNES Nº 2235;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;719;09/09/2009;Monoposte;"30";"1900";UHF;30000;GSM(2G);TDMA;53° 7´ 59´´;70° 52´ 34´´;"-70,876";"-53,133"
"14.929";"42.515";ENTEL PCS;2G;AV. BULNES 3,5 NORTE;;Punta Arenas;Región de Magallanes y de la Antártica Chilena;DECRETO EXENTO NOTIFICADO;268;27/03/2009;Monoposte;"30";"1900";UHF;30000;GSM(2G);TDMA;53° 7´ 59´´;70° 52´ 34´´;"-70,876";"-53,133"
